date,year,week,id_project,project_name,start_price,rank
2024-04-13,2024,15,1629,Internxt,0.171995,1.0
2024-04-13,2024,15,2042,ExchangeCoin,0.0152622,2.0
2024-04-13,2024,15,7423,BSCPAD,0.138309,3.0
2024-04-13,2024,15,16517,PKT,0.00298229,4.0
2024-04-13,2024,15,18604,STIMA,1.003,5.0
2024-04-13,2024,15,17367,DUST Protocol,0.204491,6.0
2024-04-13,2024,15,8882,My DeFi Pet,0.053365,7.0
2024-04-13,2024,15,9168,Netvrk,0.133289,8.0
2024-04-13,2024,15,9562,Göztepe S.K. Fan Token,1.023,9.0
2024-04-13,2024,15,16990,Shina Inu,6.74295e-07,10.0
2024-04-13,2024,15,7536,Sifchain,3.061e-05,11.0
2024-04-13,2024,15,13564,Wicrypt,0.222902,12.0
2024-04-13,2024,15,9083,Fear,0.124793,13.0
2024-04-13,2024,15,1497,ZMINE,0.0112957,14.0
2024-04-13,2024,15,10310,Husky AVAX,4.7114e-08,15.0
2024-04-13,2024,15,15652,Market Making Pro,0.070563,16.0
2024-04-13,2024,15,17237,PLEARN,0.102276,17.0
2024-04-13,2024,15,18996,HyperChainX,0.0009846,18.0
2024-04-13,2024,15,16760,Panther Protocol,0.0245712,19.0
2024-04-13,2024,15,18112,Battle World,0.00536419,20.0
2024-04-13,2024,15,18080,Luna Inu,6.431e-09,21.0
2024-04-13,2024,15,18765,Neoxa,0.00198598,22.0
2024-04-13,2024,15,14823,Wam,0.00613062,23.0
2024-04-13,2024,15,18772,Tamadoge,0.00469334,24.0
2024-04-13,2024,15,7605,Adappter Token,0.00248373,25.0
2024-04-13,2024,15,12992,Aston Villa Fan Token,0.940501,26.0
2024-04-13,2024,15,18867,STAT,0.124855,27.0
2024-04-13,2024,15,3520,SOMESING,0.00063289,28.0
2024-04-13,2024,15,9567,WallStreetBets DApp,0.00020025,29.0
2024-04-13,2024,15,12310,Idexo Token,0.0122842,30.0
2024-04-13,2024,15,10808,Structure Finance,0.00922069,31.0
2024-04-13,2024,15,10846,ArbiDoge,2.17689e-07,32.0
2024-04-13,2024,15,458,BitShares,0.0027325,33.0
2024-04-13,2024,15,2551,Project WITH,0.0083941,34.0
2024-04-13,2024,15,3460,Jupiter,0.00104518,35.0
2024-04-13,2024,15,18894,GetKicks,0.00066403,36.0
2024-04-13,2024,15,16719,KlayCity ORB,0.0360766,37.0
2024-04-13,2024,15,1044,Enigma,0.0144664,38.0
2024-04-13,2024,15,19609,KLEVA,0.117879,39.0
2024-04-13,2024,15,8496,XELS,0.345192,40.0
2024-04-13,2024,15,13195,DeFi Land,0.00148945,41.0
2024-04-13,2024,15,10555,Gamestarter,0.182144,42.0
2024-04-13,2024,15,2726,Edgeware,0.00042554,43.0
2024-04-13,2024,15,9816,OpenOcean,0.0156858,44.0
2024-04-13,2024,15,12277,Velhalla,0.00257778,45.0
2024-04-13,2024,15,15952,ZKSpace,0.0333546,46.0
2024-04-13,2024,15,21635,Sakai Vault,2.41,47.0
2024-04-13,2024,15,8673,Crowny Token,0.00599046,48.0
2024-04-13,2024,15,17335,Elumia,0.0103713,49.0
2024-04-13,2024,15,9958,Throne,0.00257232,50.0
2024-04-13,2024,15,11691,Aston Martin Cognizant Fan Token,0.604573,51.0
2024-04-13,2024,15,8321,Gains,0.232531,52.0
2024-04-13,2024,15,17988,Mongol NFT,1.242e-05,53.0
2024-04-13,2024,15,1657,Presearch,0.0185828,54.0
2024-04-13,2024,15,143,Akropolis,0.00677711,55.0
2024-04-13,2024,15,3352,UCX,0.0478079,56.0
2024-04-13,2024,15,12914,Algebra,0.0155822,57.0
2024-04-13,2024,15,1573,Fedoracoin,3.66e-06,58.0
2024-04-13,2024,15,13642,StraitsX Indonesia Rupiah,6.215e-05,59.0
2024-04-13,2024,15,13520,SENATE,0.093828,60.0
2024-04-13,2024,15,8830,Vixco,0.0102849,61.0
2024-04-13,2024,15,7644,Idavoll Network,0.00363339,62.0
2024-04-13,2024,15,15187,ALL.ART,0.00089238,63.0
2024-04-13,2024,15,6623,PLEX,0.0177686,64.0
2024-04-13,2024,15,15747,Metafluence,0.00087429,65.0
2024-04-13,2024,15,17845,AssetMantle,0.00180479,66.0
2024-04-13,2024,15,15484,MMFinance,0.00516947,67.0
2024-04-13,2024,15,14826,Rainmaker Games,0.0016256,68.0
2024-04-13,2024,15,6265,AI Network,0.0258957,69.0
2024-04-13,2024,15,9894,aiRight,0.00507288,70.0
2024-04-13,2024,15,21263,Aimedis (NEW),0.00650007,71.0
2024-04-13,2024,15,10899,Skey Network,0.0317976,72.0
2024-04-13,2024,15,18828,DinoLFG,0.0157517,73.0
