date,slug,rank,id_project,name_project
2024-02-24,agoras-currency-of-tau,1.0,19533,Agoras: Currency of Tau
2024-02-24,tellor,2.0,1259,Tellor
2024-02-24,0x0-ai-ai-smart-contract,3.0,19291,0x0.ai: AI Smart Contract
2024-02-24,akash-network,4.0,5923,Akash Network
2024-02-24,wemix-token,5.0,6098,Wemix Token
2024-02-24,bittensor,6.0,21330,Bittensor
2024-02-24,blockstack,7.0,512,Blockstack
2024-02-24,thorchain,8.0,1150,Thorchain
2024-02-24,osmosis,9.0,9792,Osmosis
2024-02-24,my-neighbor-alice,10.0,7709,My Neighbor Alice
2024-02-24,lido-staked-sol,11.0,10879,Lido Staked SOL
2024-02-24,kaspa,12.0,18408,Kaspa
2024-02-24,render-token,13.0,4469,Render Token
2024-02-24,echelon-prime,14.0,21262,Echelon Prime
2024-02-24,cudos,15.0,6963,Cudos
2024-02-24,cheelee,16.0,21068,Cheelee
2024-02-24,chromaway,17.0,675,Chromia
2024-02-24,centrifuge,18.0,9427,Centrifuge
2024-02-24,wrapped-centrifuge,19.0,9803,Wrapped Centrifuge
2024-02-24,huobi-token,20.0,989,Huobi Token
2024-02-24,gnosis,21.0,1103,Gnosis
2024-02-24,solana,22.0,3747,Solana
2024-02-24,fasttoken,23.0,21354,Fasttoken
2024-02-24,loom-network-new,24.0,9753,Loom Network (NEW)
2024-02-24,pocket-network,25.0,15628,Pocket Network
2024-02-24,kujira,26.0,13198,Kujira
2024-02-24,bitcoin-cash,27.0,382,Bitcoin Cash
2024-02-24,axelar,28.0,18821,Axelar
2024-02-24,prometeus,29.0,1443,Prometeus
2024-02-24,nakamoto-games,30.0,12078,Nakamoto Games
2024-02-24,illuvium,31.0,8054,Illuvium
2024-02-24,maker,32.0,996,Maker
2024-02-24,ribbon-finance,33.0,10897,Ribbon Finance
2024-02-24,goldfinch,34.0,15558,Goldfinch
2024-02-24,oasis-network,35.0,6150,Oasis Network
2024-02-24,conflux-token,36.0,6035,Conflux Token
2024-02-24,audius,37.0,5921,Audius
2024-02-24,chainlink,38.0,659,ChainLink
2024-02-24,rollbit-coin,39.0,16660,Rollbit Coin
2024-02-24,pepe,40.0,22257,Pepe
2024-02-24,fetch-ai,41.0,1094,Fetch.ai
2024-02-24,bonk,42.0,18835,Bonk
2024-02-24,deso,43.0,18799,Decentralized Social
2024-02-24,genesysgo-shadow,44.0,15487,GenesysGo Shadow
2024-02-24,staked-ether,45.0,6583,Staked Ether
2024-02-24,ardor,46.0,211,Ardor
2024-02-24,staked-frax-ether,47.0,18839,Staked Frax Ether
2024-02-24,just,48.0,3756,JUST
2024-02-24,orca,49.0,9841,Orca
2024-02-24,ethereum-name-service,50.0,12264,Ethereum Name Service
2024-02-24,storj,51.0,1095,Storj
2024-02-24,lido-dao,52.0,6723,Lido DAO
2024-02-24,trias-token,53.0,7573,Trias Token
2024-02-24,ethereum-classic,54.0,991,Ethereum Classic
2024-02-24,klay-token,55.0,2391,Klaytn
2024-02-24,ark,56.0,215,Ark
2024-02-24,apex-token-2,57.0,16945,ApeX
2024-02-24,nexo,58.0,1028,NEXO
2024-02-24,victoria-vr,59.0,13247,Victoria VR
2024-02-24,frax-ether,60.0,18838,Frax Ether
2024-02-24,lif3,61.0,18286,LIF3
2024-02-24,aragon,62.0,204,Aragon
2024-02-24,quant-network,63.0,1040,Quant
2024-02-24,aelf,64.0,114,aelf
2024-02-24,woo-network,65.0,10321,WOO Network
2024-02-24,ssv-network,66.0,13100,SSV Network
2024-02-24,mina-protocol,67.0,8477,Mina Protocol (IOU)
2024-02-24,frax-share,68.0,6597,Frax Share
2024-02-24,uma,69.0,3750,UMA
2024-02-24,bitcoin,70.0,376,Bitcoin
2024-02-24,blur,71.0,20752,Blur
2024-02-24,merit-circle,72.0,12265,Merit Circle
2024-02-24,biconomy,73.0,13226,Biconomy
2024-02-24,immutable-x,74.0,12263,Immutable X
2024-02-24,msol,75.0,10911,Marinade staked SOL
2024-02-24,bitcoin-avalanche-bridged-btc-b,76.0,18226,Bitcoin Avalanche Bridged (BTC.b)
2024-02-24,apecoin,77.0,5649,APEcoin
2024-02-24,allianceblock-nexera,78.0,21525,AllianceBlock Nexera
2024-02-24,bitcoin-cash-sv,79.0,408,Bitcoin SV
2024-02-24,aave,80.0,5613,Aave
2024-02-24,threshold-network-token,81.0,15050,Threshold Network Token
2024-02-24,pendle,82.0,8668,Pendle
2024-02-24,zencash,83.0,1024,Horizen
2024-02-24,flare-networks,84.0,18837,Flare Network
2024-02-24,origintrail,85.0,1281,OriginTrail
2024-02-24,lcx,86.0,2268,LCX
2024-02-24,ecash,87.0,10703,eCash
2024-02-24,perpetual-protocol,88.0,5288,Perpetual Protocol
2024-02-24,tron,89.0,984,TRON
2024-02-24,avalanche-2,90.0,5518,Avalanche
2024-02-24,adventure-gold,91.0,10615,Adventure Gold
2024-02-24,vulcan-forged,92.0,9735,Vulcan Forged
2024-02-24,request-network,93.0,1142,Request
2024-02-24,bitget-token,94.0,18811,Bitget Token
