date,slug,rank,id_project,name_project
2023-09-30,internxt,1.0,1629,Internxt
2023-09-30,brick,2.0,6001,r/FortNiteBR Bricks
2023-09-30,cyberfi,3.0,6156,CyberFi
2023-09-30,witch-token,4.0,11603,Witch Token
2023-09-30,etha-lend,5.0,7692,ETHA Lend
2023-09-30,shina-inu,6.0,16990,Shina Inu
2023-09-30,kitty-inu,7.0,13024,Kitty Inu
2023-09-30,soldex,8.0,14596,Soldex
2023-09-30,argentine-football-association-fan-token,9.0,14370,Argentine Football Association Fan Token
2023-09-30,zuki-moba,10.0,13212,Zuki Moba
2023-09-30,spool-dao-token,11.0,13346,Spool DAO Token
2023-09-30,whiteheart,12.0,6670,Whiteheart
2023-09-30,flamengo-fan-token,13.0,12979,Flamengo Fan Token
2023-09-30,viberate,14.0,1255,Viberate
2023-09-30,spores-network,15.0,10091,Spores Network
2023-09-30,throne,16.0,9958,Throne
2023-09-30,nasdex-token,17.0,11247,NASDEX Token
2023-09-30,witnet,18.0,13253,Witnet
2023-09-30,clintex-cti,19.0,6446,ClinTex CTi
2023-09-30,brn-metaverse,20.0,16869,BRN Metaverse
2023-09-30,dappradar,21.0,13828,DappRadar
2023-09-30,babyswap,22.0,9995,BabySwap
2023-09-30,aditus,23.0,106,Aditus
2023-09-30,arcs,24.0,209,Arcs
2023-09-30,pancake-bunny,25.0,6188,Pancake Bunny
2023-09-30,toko,26.0,2643,Tokoin
2023-09-30,vidya,27.0,4956,Vidya
2023-09-30,xfund,28.0,7040,xFund
2023-09-30,plutusdao,29.0,17848,PlutusDAO
2023-09-30,yfdai-finance,30.0,4833,YfDAI.finance
2023-09-30,xfinite-entertainment-token,31.0,12116,Xfinite Entertainment Token
2023-09-30,wom-token,32.0,3149,WOM Token
2023-09-30,smartmesh,33.0,1202,SmartMesh
2023-09-30,etherland,34.0,8005,Etherland
2023-09-30,chain-guardians,35.0,7848,Chain Guardians
2023-09-30,connect-financial,36.0,6771,Connect Financial
2023-09-30,gifto,37.0,1175,Gifto
2023-09-30,napoli-fan-token,38.0,14463,Napoli Fan Token
2023-09-30,dafi-protocol,39.0,8008,Dafi Protocol
2023-09-30,bomb,40.0,541,BOMB
2023-09-30,dev-protocol,41.0,4360,Dev Protocol
2023-09-30,unbound-finance,42.0,13438,Unbound Finance
2023-09-30,arc,43.0,17379,Arc
2023-09-30,gamefi,44.0,10852,GameFi
2023-09-30,tune-fm,45.0,10408,Tune.Fm
2023-09-30,meta-ruffy,46.0,16041,Meta Ruffy
2023-09-30,roush-fenway-racing-fan-token,47.0,11223,Roush Fenway Racing Fan Token
2023-09-30,unipower,48.0,4479,UniPower
2023-09-30,loot,49.0,15739,Lootex
2023-09-30,ttc-protocol,50.0,3198,TTC PROTOCOL
2023-09-30,bird-money,51.0,6336,Bird.Money
2023-09-30,perion,52.0,17540,Perion
2023-09-30,polytrade,53.0,10350,Polytrade
2023-09-30,parex,54.0,15963,Parex
2023-09-30,plugin,55.0,14191,Plugin
2023-09-30,crowny-token,56.0,8673,Crowny Token
2023-09-30,linkeye,57.0,1369,Linkeye
2023-09-30,enigma,58.0,1044,Enigma
2023-09-30,holoride,59.0,14538,holoride
2023-09-30,oxygen,60.0,7900,Oxygen
2023-09-30,formation-fi,61.0,13257,Formation FI
2023-09-30,alfa-romeo-racing-orlen-fan-token,62.0,15837,Alfa Romeo Racing ORLEN Fan Token
2023-09-30,oath,63.0,16377,Oath
2023-09-30,renewable-energy,64.0,17908,Renewable Energy
2023-09-30,battle-pets,65.0,7798,Battle Pets
2023-09-30,hapi,66.0,7876,HAPI
2023-09-30,affyn,67.0,15802,Affyn
2023-09-30,par-stablecoin,68.0,7690,PAR Stablecoin
2023-09-30,hegic,69.0,5359,Hegic
2023-09-30,zignaly,70.0,8485,Zignaly
2023-09-30,symbiosis-finance,71.0,13210,Symbiosis Finance
2023-09-30,apm-coin,72.0,3523,apM Coin
2023-09-30,arsenal-fan-token,73.0,14305,Arsenal Fan Token
2023-09-30,eosforce,74.0,1428,EOSForce
2023-09-30,aston-martin-cognizant-fan-token,75.0,11691,Aston Martin Cognizant Fan Token
2023-09-30,aventus,76.0,256,Aventus
2023-09-30,hakka-finance,77.0,4715,Hakka Finance
2023-09-30,wizarre-scroll,78.0,14834,Wizarre Scroll
2023-09-30,newscrypto-coin,79.0,2344,Newscrypto Coin
2023-09-30,octofi,80.0,5535,OctoFi
2023-09-30,project-with,81.0,2551,Project WITH
2023-09-30,occamfi,82.0,8317,OccamFi
2023-09-30,veusd,83.0,17300,VeUSD
2023-09-30,mch-coin,84.0,8800,MCH Coin
2023-09-30,roco-finance,85.0,11983,Roco Finance
2023-09-30,urus-token,86.0,7485,Urus Token
2023-09-30,sao-paulo-fc-fan-token,87.0,14025,Sao Paulo FC Fan Token
2023-09-30,aston-villa-fan-token,88.0,12992,Aston Villa Fan Token
2023-09-30,sperax-usd,89.0,15221,Sperax USD
2023-09-30,top-network,90.0,1230,TOP Network
2023-09-30,dark-frontiers,91.0,11076,Dark Frontiers
2023-09-30,rio-defi,92.0,5678,Rio DeFi
2023-09-30,crystal-token,93.0,833,Crystal Token
2023-09-30,akropolis,94.0,143,Akropolis
2023-09-30,deus-finance-2,95.0,11140,DEUS Finance
2023-09-30,kick,96.0,9824,Kick
2023-09-30,marinade,97.0,11068,Marinade
2023-09-30,ideaology,98.0,7364,Ideaology
2023-09-30,pangolin,99.0,7433,Pangolin
2023-09-30,calamari-network,100.0,13764,Calamari Network
2023-08-05,nasdex-token,1.0,11247,NASDEX Token
2023-08-05,checkdot,2.0,12476,CheckDot
2023-08-05,unidex,3.0,6169,UniDex
2023-08-05,degis,4.0,16401,Degis
2023-08-05,parex,5.0,15963,Parex
2023-08-05,defactor,6.0,12301,Defactor
2023-08-05,polytrade,7.0,10350,Polytrade
2023-08-05,fief,8.0,16521,Fief
2023-08-05,arcs,9.0,209,Arcs
2023-08-05,bomb,10.0,541,BOMB
2023-08-05,enq-enecuum,11.0,1385,Enecuum
2023-08-05,yfdai-finance,12.0,4833,YfDAI.finance
2023-08-05,burger-swap,13.0,5561,Burger Swap
2023-08-05,dappradar,14.0,13828,DappRadar
2023-08-05,xfund,15.0,7040,xFund
2023-08-05,plutusdao,16.0,17848,PlutusDAO
2023-08-05,lithium-finance,17.0,9847,Lithium Finance
2023-08-05,shina-inu,18.0,16990,Shina Inu
2023-08-05,nuco-cloud,19.0,5496,Nuco.Cloud
2023-08-05,defidollar-dao,20.0,6011,DefiDollar DAO
2023-08-05,aditus,21.0,106,Aditus
2023-08-05,pancake-bunny,22.0,6188,Pancake Bunny
2023-08-05,throne,23.0,9958,Throne
2023-08-05,viberate,24.0,1255,Viberate
2023-08-05,oath,25.0,16377,Oath
2023-08-05,witnet,26.0,13253,Witnet
2023-08-05,stratos,27.0,9859,Stratos
2023-08-05,billionhappiness,28.0,5837,BillionHappiness
2023-08-05,unipower,29.0,4479,UniPower
2023-08-05,unicly,30.0,8860,Unicly
2023-08-05,lunr-token,31.0,11972,Lunr Token
2023-08-05,matrix-ai-network,32.0,1210,Matrix AI Network
2023-08-05,vidya,33.0,4956,Vidya
